Assembly Constituency,Block,Administrative Type,GP/ULB Name,Village/Ward,Entity Type
रायगढ़,रायगढ़,ULB,रायगढ़,Ward data not available in current dataset,ULB
रायगढ़,रायगढ़,Gram Panchayat,Adbahal,Adbahal,Village
रायगढ़,रायगढ़,Gram Panchayat,Adbahal,Balbhadrapur,Village
रायगढ़,रायगढ़,Gram Panchayat,Adbahal,Sarbahal,Village
रायगढ़,रायगढ़,Gram Panchayat,Adbahal,Sikosimal,Village
रायगढ़,रायगढ़,Gram Panchayat,Aurabhata,Aunrabhantha,Village
रायगढ़,रायगढ़,Gram Panchayat,Aurabhata,Thakurpali,Village
रायगढ़,रायगढ़,Gram Panchayat,Bade Attarmuda,Bade Attarmuda (Og),Village
रायगढ़,रायगढ़,Gram Panchayat,Bade Attarmuda,Benderchua (Og),Village
रायगढ़,रायगढ़,Gram Panchayat,Baghanpur,Baghanpur,Village
रायगढ़,रायगढ़,Gram Panchayat,Baghanpur,Banhar,Village
रायगढ़,रायगढ़,Gram Panchayat,Balamgoda,Balamgoda,Village
रायगढ़,रायगढ़,Gram Panchayat,Bangursia,Bagursiya,Village
रायगढ़,रायगढ़,Gram Panchayat,Bangursia,Junwani,Village
रायगढ़,रायगढ़,Gram Panchayat,Banora,Banora,Village
रायगढ़,रायगढ़,Gram Panchayat,Bansia,Bansiya,Village
रायगढ़,रायगढ़,Gram Panchayat,Bardaputi,Bardapuri,Village
रायगढ़,रायगढ़,Gram Panchayat,Bardaputi,Basantpur,Village
रायगढ़,रायगढ़,Gram Panchayat,Barlia,Barliya,Village
रायगढ़,रायगढ़,Gram Panchayat,Barpali,Arsipali,Village
रायगढ़,रायगढ़,Gram Panchayat,Barpali,Barpali,Village
रायगढ़,रायगढ़,Gram Panchayat,Barpali,Mauhapali,Village
रायगढ़,रायगढ़,Gram Panchayat,Bayang,Bayang,Village
रायगढ़,रायगढ़,Gram Panchayat,Behrapali,Beharapali,Village
रायगढ़,रायगढ़,Gram Panchayat,Behrapali,Bhuiyapali,Village
रायगढ़,रायगढ़,Gram Panchayat,Belria,Belriya,Village
रायगढ़,रायगढ़,Gram Panchayat,Belria,Dumarpali,Village
रायगढ़,रायगढ़,Gram Panchayat,Bhagora,Bhagora,Village
रायगढ़,रायगढ़,Gram Panchayat,Bhatpur,Bhatpur,Village
रायगढ़,रायगढ़,Gram Panchayat,Bhatpur,Dulopur,Village
रायगढ़,रायगढ़,Gram Panchayat,Bhatpur,Salhepali,Village
रायगढ़,रायगढ़,Gram Panchayat,Bhelwatikara,Bhelwa Tikra,Village
रायगढ़,रायगढ़,Gram Panchayat,Bhelwatikara,Danot,Village
रायगढ़,रायगढ़,Gram Panchayat,Chraipani,Chiraipani,Village
रायगढ़,रायगढ़,Gram Panchayat,Chuhipali,Chhuhipali,Village
रायगढ़,रायगढ़,Gram Panchayat,Chuhipali,Nawapara,Village
रायगढ़,रायगढ़,Gram Panchayat,Delari,Delari,Village
रायगढ़,रायगढ़,Gram Panchayat,Delari,Pali,Village
रायगढ़,रायगढ़,Gram Panchayat,Deori,Deori,Village
रायगढ़,रायगढ़,Gram Panchayat,Dhanagar,Dhanagar,Village
रायगढ़,रायगढ़,Gram Panchayat,Dongitrai,Dongitarai,Village
रायगढ़,रायगढ़,Gram Panchayat,Dongitrai,Hardijhariya,Village
रायगढ़,रायगढ़,Gram Panchayat,Dumerpali,Dumarpali,Village
रायगढ़,रायगढ़,Gram Panchayat,Gejamuda,Gejamuda,Village
रायगढ़,रायगढ़,Gram Panchayat,Gejamuda,Rampur Chhote,Village
