shrid2,pc01_state_id,pc01_district_id,pc01_subdistrict_id,pc01_town_id,pc01_land_area,pc01_pca_tot_p
01-05-05-00-40508000,05,05,0003,40508000,5.2,5424.0
01-05-07-00-40701000,05,07,0002,40701000,5.64,3739.0
01-08-10-00-41004000,08,10,0006,41004000,4.96,5247.0
01-08-21-00-42104000,08,21,0002,42104000,5.48,4945.0
01-08-25-00-42504000,08,25,0006,42504000,5.57,2833.0
01-08-30-00-43002000,08,30,0003,43002000,4.51,8834.0
01-09-25-00-42514000,09,25,0005,42514000,6.27,3575.0
01-09-46-00-44608000,09,46,0004,44608000,2.62,11323.0
01-09-69-00-46905000,09,69,0004,46905000,1.87,3979.0
01-10-02-00-40204000,10,02,0011,40204000,2.49,7745.0
01-10-19-00-41902000,10,19,0011,41902000,8.08,13769.0
01-10-34-00-43402000,10,34,0006,43402000,5.73,8608.0
01-16-01-00-40105000,16,01,0001,40105000,5.0,7343.0
01-18-17-00-41701000,18,17,0002,41701000,9.0,3697.0
01-19-01-00-40101000,19,01,0001,40101000,2.2,1633.0
01-19-09-00-40903000,19,09,0001,40903000,1.51,3861.0
01-19-09-00-40923000,19,09,0005,40923000,3.49,3843.0
01-19-09-00-40957000,19,09,0017,40957000,3.48,4454.0
01-19-15-00-41512000,19,15,0023,41512000,1.59,8288.0
01-20-02-00-40201000,20,02,0001,40201000,9.3,3930.0
01-20-07-00-40701000,20,07,0001,40701000,8.26,14137.0
01-20-12-00-41205000,20,12,0003,41205000,1.18,8913.0
01-20-12-00-41206000,20,12,0003,41206000,5.0,51233.0
01-20-12-00-41208000,20,12,0003,41208000,1.03,6966.0
01-20-12-00-41209000,20,12,0003,41209000,2.37,8305.0
01-20-12-00-41211000,20,12,0003,41211000,2.12,13761.0
01-20-12-00-41214000,20,12,0005,41214000,7.82,32721.0
01-20-12-00-41216000,20,12,0005,41216000,4.78,8359.0
01-20-12-00-41217000,20,12,0005,41217000,3.33,11536.0
01-20-12-00-41218000,20,12,0005,41218000,0.57,6727.0
01-20-12-00-41219000,20,12,0005,41219000,3.23,32173.0
01-20-12-00-41220000,20,12,0005,41220000,1.29,4022.0
01-20-12-00-41221000,20,12,0005,41221000,11.74,89534.0
01-20-12-00-41222000,20,12,0005,41222000,2.8,9552.0
01-20-12-00-41223000,20,12,0005,41223000,1.25,9214.0
01-20-12-00-41224000,20,12,0005,41224000,1.8,12280.0
01-20-12-00-41225000,20,12,0006,41225000,6.55,34092.0
01-20-12-00-41226000,20,12,0006,41226000,4.42,81983.0
01-20-12-00-41227000,20,12,0006,41227000,1.21,19831.0
01-20-12-00-41228000,20,12,0006,41228000,7.09,33507.0
01-20-12-00-41230000,20,12,0005,41230000,1.62,24189.0
01-20-12-00-41232000,20,12,0006,41232000,14.02,53572.0
01-20-12-00-41233000,20,12,0006,41233000,16.4,85100.0
01-20-12-00-41234000,20,12,0006,41234000,15.73,44295.0
01-20-12-00-41235000,20,12,0006,41235000,7.8,39541.0
01-20-12-00-41236000,20,12,0006,41236000,4.67,4285.0
01-20-12-00-41237000,20,12,0006,41237000,46.65,76746.0
01-20-12-00-41239000,20,12,0008,41239000,1.56,2983.0
01-20-17-00-41703000,20,17,0009,41703000,1.02,3775.0
01-20-17-00-41706000,20,17,0005,41706000,6.96,6792.0
01-20-17-00-41711000,20,17,0014,41711000,1.12,3951.0
01-21-06-00-40609000,21,06,0020,40609000,7.45,5168.0
01-22-02-00-40202000,22,02,0005,40202000,6.59,7149.0
01-22-02-00-40207000,22,02,0006,40207000,5.13,8918.0
01-23-29-00-42902000,23,29,0001,42902000,4.76,15871.0
01-23-35-00-43501000,23,35,0003,43501000,1.06,3997.0
01-23-43-00-44307000,23,43,0005,44307000,3.35,3449.0
01-23-43-00-44311000,23,43,0004,44311000,4.88,10692.0
01-23-43-00-44314000,23,43,0005,44314000,2.5,3968.0
01-24-06-00-40607000,24,06,0003,40607000,10.48,55504.0
01-24-06-00-40608000,24,06,0003,40608000,5.09,21141.0
01-24-07-00-40703000,24,07,0005,40703000,3.55,34220.0
01-24-07-00-40705000,24,07,0005,40705000,7.68,92498.0
01-24-07-00-40706000,24,07,0005,40706000,19.1,68417.0
01-24-07-00-40707000,24,07,0005,40707000,,109467.0
01-24-07-00-40708000,24,07,0005,40708000,2.1,37284.0
01-24-07-00-40709000,24,07,0005,40709000,4.22,24656.0
01-24-07-00-40711000,24,07,0005,40711000,10.09,116086.0
01-24-07-00-40712000,24,07,0005,40712000,10.94,18047.0
01-24-07-00-40714000,24,07,0006,40714000,6.01,13843.0
01-24-07-00-40715000,24,07,0006,40715000,8.51,42713.0
01-24-07-00-40718000,24,07,0006,40718000,11.37,41919.0
01-24-07-00-40719000,24,07,0006,40719000,7.26,27550.0
01-24-07-00-40720000,24,07,0006,40720000,6.37,16722.0
01-24-10-00-41002000,24,10,0001,41002000,13.54,15011.0
01-24-10-00-41004000,24,10,0001,41004000,2.77,16796.0
01-24-10-00-41010000,24,10,0003,41010000,4.83,19112.0
01-24-10-00-41011000,24,10,0003,41011000,4.27,39500.0
01-24-11-00-41103000,24,11,0002,41103000,35.9,17238.0
01-24-12-00-41204000,24,12,0003,41204000,3.62,28767.0
01-24-20-00-42002000,24,20,0002,42002000,3.5,4480.0
01-24-22-00-42207000,24,22,0010,42207000,2.96,23415.0
01-24-22-00-42208000,24,22,0010,42208000,2.91,12894.0
01-24-22-00-42209000,24,22,0010,42209000,2.12,20693.0
01-24-24-00-42403000,24,24,0002,42403000,9.89,16248.0
01-24-25-00-42503000,24,25,0001,42503000,2.83,17525.0
01-24-25-00-42505000,24,25,0001,42505000,6.24,20967.0
01-24-25-00-42510000,24,25,0003,42510000,5.11,16247.0
01-24-25-00-42514000,24,25,0003,42514000,9.66,24524.0
01-27-01-00-40102000,27,01,0004,40102000,2.41,3594.0
01-27-09-00-40911000,27,09,0006,40911000,10.7,2336.0
01-27-09-00-40914000,27,09,0006,40914000,6.39,6459.0
01-27-10-00-41002000,27,10,0001,41002000,22.01,5759.0
01-27-16-00-41604000,27,16,0005,41604000,8.44,6601.0
01-27-25-00-42519000,27,25,0006,42519000,6.39,7976.0
01-27-26-00-42604000,27,26,0003,42604000,7.04,10860.0
01-27-26-00-42608000,27,26,0005,42608000,4.59,7506.0
01-27-26-00-42615000,27,26,0009,42615000,23.17,7620.0
01-27-31-00-43104000,27,31,0003,43104000,76.15,11836.0
01-27-31-00-43114000,27,31,0011,43114000,4.3,3942.0
