shrid2,pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_town_id,pc11_land_area,pc11_pca_tot_p
11-01-001-00001-000123,01,001,00001,000123,3.92,8464.0
11-01-001-00001-000124,01,001,00001,000124,2.19,3973.0
11-01-001-00001-000125,01,001,00001,000125,2.77,6348.0
11-01-001-00001-000126,01,001,00001,000126,5.5,15587.0
11-01-001-00001-000127,01,001,00001,000127,2.78,6518.0
11-01-001-00001-000128,01,001,00001,000128,5.65,12930.0
11-01-001-00001-800001,01,001,00001,800001,4.1,21771.0
11-01-001-00002-800002,01,001,00002,800002,8.5,13600.0
11-01-001-00003-000369,01,001,00003,000369,5.72,9904.0
11-01-001-00003-000370,01,001,00003,000370,6.21,5634.0
11-01-002-00005-800016,01,002,00005,800016,2.3,5470.0
11-01-002-00005-800017,01,002,00005,800017,5.0,8192.0
11-01-002-00006-800018,01,002,00006,800018,4.3,2630.0
11-01-002-00007-000720,01,002,00007,000720,4.64,7461.0
11-01-002-00007-800019,01,002,00007,800019,10.08,15338.0
11-01-002-00008-000829,01,002,00008,000829,6.56,7365.0
11-01-002-00008-000830,01,002,00008,000830,3.5,13889.0
11-01-002-00008-800020,01,002,00008,800020,3.65,6482.0
11-01-002-00009-800021,01,002,00009,800021,3.65,11533.0
11-01-003-00010-000909,01,003,00010,000909,10.58,4047.0
11-01-003-00010-000910,01,003,00010,000910,4.28,10754.0
11-01-003-00010-800047,01,003,00010,800047,9.15,30870.0
11-01-004-00013-800048,01,004,00013,800048,2.14,16338.0
11-01-005-00016-800062,01,005,00016,800062,10.36,26854.0
11-01-005-00018-001233,01,005,00018,001233,8.85,5033.0
11-01-005-00019-800063,01,005,00019,800063,4.87,6743.0
11-01-006-00020-800064,01,006,00020,800064,4.18,5490.0
11-01-006-00022-800065,01,006,00022,800065,12.89,29486.0
11-01-006-00025-800066,01,006,00025,800066,4.63,10408.0
11-01-006-00026-800067,01,006,00026,800067,0.19,6930.0
11-01-007-00027-800081,01,007,00027,800081,6.35,4978.0
11-01-007-00028-800082,01,007,00028,800082,2.61,5433.0
11-01-007-00030-800083,01,007,00030,800083,0.3217805,3461.0
11-01-007-00030-800084,01,007,00030,800084,28.32,59866.0
11-01-007-00030-800085,01,007,00030,800085,1.14,7681.0
11-01-007-00031-800086,01,007,00031,800086,4.0,8294.0
11-01-008-00032-800003,01,008,00032,800003,18.9,71292.0
11-01-008-00033-800004,01,008,00033,800004,6.0,7015.0
11-01-008-00034-800005,01,008,00034,800005,0.28,19538.0
11-01-008-00035-800006,01,008,00035,800006,23.98,71434.0
11-01-008-00037-800007,01,008,00037,800007,4.9,9366.0
11-01-008-00039-800008,01,008,00039,800008,1.4,1890.0
11-01-008-00039-800009,01,008,00039,800009,8.1,1965.0
11-01-009-00041-800010,01,009,00041,800010,13.4,37081.0
11-01-009-00042-800011,01,009,00042,800011,18.3,13239.0
11-01-009-00042-800012,01,009,00042,800012,17.93,15041.0
11-01-010-00043-002830,01,010,00043,002830,1.98,2664.0
11-01-010-00043-800013,01,010,00043,800013,201.65343,1180570.0
11-01-010-00043-800013,01,010,00044,800013,24.935225,6297.0
11-01-010-00043-800013,01,002,00008,800013,38.790073,19552.0
11-01-010-00043-800014,01,010,00043,800014,5.9,22214.0
11-01-010-00044-002834,01,010,00044,002834,3.24,2490.0
11-01-010-00044-002835,01,010,00044,002835,4.81,5281.0
11-01-011-00045-002883,01,011,00045,002883,9.54,10471.0
11-01-011-00047-002958,01,011,00047,002958,4.5,8335.0
11-01-011-00047-800015,01,011,00047,800015,11.36,28233.0
11-01-012-00048-800022,01,012,00048,800022,8.05,21680.0
11-01-012-00048-800023,01,012,00048,800023,21.9,9851.0
11-01-012-00049-800024,01,012,00049,800024,5.0,12647.0
11-01-012-00050-800025,01,012,00050,800025,0.6,17844.0
11-01-012-00051-800026,01,012,00051,800026,3.0,18440.0
11-01-013-00052-800027,01,013,00052,800027,5.4,16360.0
11-01-014-00053-800028,01,014,00053,800028,18.02,9264.0
11-01-014-00053-800029,01,014,00053,800029,4.0,6519.0
11-01-014-00054-800030,01,014,00054,800030,3.74,22789.0
11-01-014-00054-800031,01,014,00054,800031,7.27,11815.0
11-01-014-00055-800032,01,014,00055,800032,2.5,9246.0
11-01-014-00055-800033,01,015,00059,800033,7.8399215,394.0
11-01-014-00055-800033,01,014,00055,800033,36.49809,150198.0
11-01-014-00055-800034,01,014,00055,800034,3.0,17556.0
11-01-014-00055-800035,01,014,00055,800035,2.5,8233.0
11-01-014-00056-800036,01,014,00056,800036,2.0,7875.0
11-01-014-00057-800037,01,014,00057,800037,3.0,6553.0
11-01-014-00058-800038,01,014,00058,800038,6.5,9871.0
11-01-014-00058-800039,01,014,00058,800039,8.0,22968.0
11-01-015-00059-800040,01,015,00059,800040,18.51,23584.0
11-01-015-00059-800041,01,015,00059,800041,7.01,13138.0
11-01-015-00059-800042,01,015,00059,800042,1.27,5132.0
11-01-015-00059-800043,01,015,00059,800043,8.21,12123.0
11-01-015-00059-800044,01,015,00059,800044,6.59,5567.0
11-01-015-00059-800045,01,015,00059,800045,7.55,10910.0
11-01-015-00060-800046,01,015,00060,800046,0.43,9765.0
