shrid2,pc91_state_id,pc91_district_id,pc91_town_id,pc91_land_area,pc91_pca_tot_p
01-05-05-00-40508000,25,04,300200,4.69,4716.0
01-06-04-00-00000000,08,03,100000,16.0,31452.0
01-06-04-00-00000000,08,03,103000,4.57,21986.0
01-08-10-00-41004000,21,08,104000,4.96,5083.0
01-09-46-00-44608000,25,48,104000,2.62,9493.0
01-10-02-00-40204000,05,13,201000,1.59,5823.0
01-10-19-00-41902000,05,18,102000,8.08,11012.0
01-10-34-00-43402000,05,05,101000,5.73,6729.0
01-18-17-00-41701000,04,15,300200,9.0,6666.0
01-19-09-00-40903000,26,16,320400,4.24,12609.0
01-19-15-00-41512000,26,13,107000,1.59,7286.0
01-20-02-00-40201000,05,35,105000,9.3,4719.0
01-20-07-00-40701000,05,31,201000,8.26,9522.0
01-20-12-00-41205000,05,32,302400,1.18,4314.0
01-20-12-00-41206000,05,32,302000,5.0,37520.0
01-20-12-00-41209000,05,32,302100,2.37,6274.0
01-20-12-00-41211000,05,32,104000,2.12,9690.0
01-20-12-00-41214000,05,32,300300,7.82,31297.0
01-20-12-00-41216000,05,32,300600,4.78,6740.0
01-20-12-00-41217000,05,32,301000,3.33,10501.0
01-20-12-00-41219000,05,32,300500,3.23,28420.0
01-20-12-00-41221000,05,32,300200,11.74,56774.0
01-20-12-00-41222000,05,32,300800,2.8,7200.0
01-20-12-00-41224000,05,32,300900,1.8,11830.0
01-20-12-00-41225000,05,32,301900,6.55,31761.0
01-20-12-00-41226000,05,32,301300,4.42,69641.0
01-20-12-00-41228000,05,32,301500,7.09,30174.0
01-20-12-00-41230000,05,32,300700,1.62,16393.0
01-20-12-00-41232000,05,32,301800,14.02,55677.0
01-20-12-00-41233000,05,32,301400,16.4,72919.0
01-20-12-00-41234000,05,32,301600,15.73,45425.0
01-20-12-00-41235000,05,32,301700,7.8,27319.0
01-20-12-00-41237000,05,32,301200,46.65,72333.0
01-20-17-00-41706000,05,40,108000,6.96,5735.0
01-20-17-00-41711000,05,40,109000,1.12,4627.0
01-23-29-00-42902000,13,25,100000,4.76,13685.0
01-23-43-00-44307000,13,36,205000,3.35,4907.0
01-23-43-00-44311000,13,36,105000,4.88,11255.0
01-23-43-00-44314000,13,36,201000,2.5,5491.0
01-24-06-00-40607000,07,11,100000,10.48,35560.0
01-24-06-00-40608000,07,11,101000,5.09,8300.0
01-24-07-00-40703000,07,12,301100,3.55,29950.0
01-24-07-00-40705000,07,12,300300,5.68,60537.0
01-24-07-00-40706000,07,12,300400,4.05,34667.0
01-24-07-00-40707000,07,12,300500,4.41,62248.0
01-24-07-00-40708000,07,12,300600,2.1,23518.0
01-24-07-00-40709000,07,12,300700,4.22,12091.0
01-24-07-00-40711000,07,12,300800,12.35,92116.0
01-24-07-00-40712000,07,12,300900,10.94,9846.0
01-24-07-00-40715000,07,12,301200,8.51,11181.0
01-24-10-00-41004000,07,01,109000,2.77,14388.0
01-24-10-00-41010000,07,01,300200,4.83,13105.0
01-24-10-00-41011000,07,01,300300,4.27,17997.0
01-24-11-00-41103000,07,06,107000,35.85,15634.0
01-24-12-00-41204000,07,06,300200,3.62,15903.0
01-24-20-00-42002000,07,05,106000,15.22,10716.0
01-24-22-00-42208000,07,17,100000,2.91,8673.0
01-24-24-00-42403000,07,18,300200,9.55,12956.0
01-24-25-00-42503000,07,18,310400,2.83,12052.0
01-24-25-00-42505000,07,18,310200,6.24,12981.0
01-24-25-00-42514000,07,05,103000,21.66,6713.0
01-27-09-00-40911000,14,27,106000,10.7,5658.0
01-27-26-00-42608000,14,09,200200,4.59,7684.0
