shrid2,pc01_state_id,pc01_district_id
01-03-01-0002-00008200,03,01
01-03-01-0002-00008300,03,01
01-03-01-0002-00009300,03,01
01-03-01-0002-00009500,03,01
01-03-01-0002-00009700,03,01
01-03-01-0004-00117000,03,01
01-03-01-0004-00117100,03,01
01-03-05-0002-00494700,03,05
01-03-05-0002-00497500,03,05
01-03-07-0002-00681800,03,07
01-03-07-0002-00682000,03,07
01-03-07-0002-00682100,03,07
01-03-07-0003-00709400,03,07
01-03-07-0003-00710000,03,07
01-03-07-0003-00713900,03,07
01-03-07-0003-00714000,03,07
01-03-07-0003-00714100,03,07
01-03-07-0003-00714200,03,07
01-03-07-0004-00721200,03,07
01-03-07-0004-00721300,03,07
01-03-07-0004-00721400,03,07
01-03-07-0004-00721500,03,07
01-03-07-0004-00722700,03,07
01-03-16-0002-01109100,03,16
01-03-16-0002-01109900,03,16
01-03-16-0002-01117400,03,16
01-03-16-0002-01117600,03,16
01-03-17-0002-01187100,03,17
01-03-17-0005-01262800,03,17
01-03-17-0005-01265600,03,17
01-03-17-0005-01265900,03,17
01-03-17-0005-01266000,03,17
01-03-17-0005-01267200,03,17
01-03-17-0005-01267300,03,17
01-05-03-0002-00244500,05,03
01-05-03-0002-00245000,05,03
01-05-03-0002-00245100,05,03
01-05-05-00-40508000,05,05
01-05-06-0005-00763200,05,06
01-05-06-0006-00832100,05,06
01-05-06-0006-00849200,05,06
01-05-06-0006-00849400,05,06
01-05-06-0006-00851400,05,06
01-05-06-0006-00851600,05,06
01-05-06-0006-00856800,05,06
01-05-06-0006-00856900,05,06
01-05-07-00-40701000,05,07
01-05-08-0001-01056400,05,08
01-05-11-0002-01475100,05,11
01-05-11-0002-01475200,05,11
01-05-11-0004-01531400,05,11
01-05-13-0001-01643300,05,13
01-06-17-0002-00561400,06,17
01-06-18-0002-00593600,06,18
01-06-18-0002-00593700,06,18
01-06-18-0002-00593800,06,18
01-06-18-0002-00594000,06,18
01-06-18-0002-00594100,06,18
01-06-18-0002-00594200,06,18
01-06-18-0002-00594300,06,18
01-06-18-0002-00594400,06,18
01-06-18-0002-00594500,06,18
01-06-18-0002-00594600,06,18
01-06-18-0002-00594700,06,18
01-06-18-0002-00594800,06,18
01-06-18-0002-00594900,06,18
01-06-18-0002-00595000,06,18
01-06-18-0002-00595100,06,18
01-06-18-0002-00595200,06,18
01-06-18-0002-00595300,06,18
01-06-18-0002-00595600,06,18
01-06-18-0002-00595700,06,18
01-06-18-0002-00595800,06,18
01-06-18-0002-00595900,06,18
01-06-18-0002-00596000,06,18
01-06-18-0002-00596100,06,18
01-06-18-0002-00596200,06,18
01-06-18-0002-00596300,06,18
01-06-18-0002-00596400,06,18
01-06-18-0002-00596500,06,18
01-06-18-0002-00596600,06,18
01-06-18-0002-00596700,06,18
01-06-18-0002-00596800,06,18
01-06-18-0002-00596900,06,18
01-06-18-0002-00597000,06,18
01-06-18-0002-00598700,06,18
01-06-18-0003-00601100,06,18
01-06-18-0003-00607700,06,18
01-08-06-0007-00851700,08,06
01-08-06-0007-00851800,08,06
01-08-06-0007-00852000,08,06
01-08-06-0007-00852600,08,06
01-08-06-0007-00852800,08,06
01-08-06-0007-00859400,08,06
01-08-07-0009-01074600,08,07
01-08-09-0001-01192000,08,09
01-08-10-00-41004000,08,10
01-08-13-0004-01718700,08,13
01-08-21-00-42104000,08,21
01-08-25-00-42504000,08,25
01-08-30-00-43002000,08,30
01-09-01-0001-00001200,09,01
01-09-01-0001-00018600,09,01
01-09-01-0002-00034300,09,01
01-09-01-0002-00037200,09,01
01-09-01-0002-00037300,09,01
01-09-01-0002-00038600,09,01
01-09-01-0002-00038700,09,01
01-09-01-0002-00038800,09,01
01-09-01-0002-00041100,09,01
01-09-01-0002-00041200,09,01
01-09-01-0002-00041300,09,01
01-09-01-0002-00041500,09,01
01-09-01-0002-00041800,09,01
01-09-01-0002-00050300,09,01
01-09-01-0002-00052300,09,01
01-09-01-0002-00052500,09,01
01-09-01-0002-00052600,09,01
01-09-01-0002-00052900,09,01
01-09-01-0002-00053000,09,01
01-09-01-0002-00053100,09,01
01-09-01-0002-00053200,09,01
01-09-01-0002-00053300,09,01
01-09-01-0002-00053400,09,01
01-09-01-0002-00053500,09,01
01-09-01-0002-00053600,09,01
01-09-01-0002-00053900,09,01
01-09-01-0002-00054100,09,01
01-09-01-0002-00054200,09,01
01-09-01-0002-00054300,09,01
01-09-01-0002-00056400,09,01
01-09-01-0002-00057000,09,01
01-09-01-0002-00057200,09,01
01-09-03-0003-00374000,09,03
01-09-03-0003-00426900,09,03
01-09-04-0002-00633500,09,04
01-09-05-0003-00804100,09,05
01-09-07-0001-00979400,09,07
01-09-07-0001-00979600,09,07
01-09-09-0001-01070600,09,09
01-09-09-0002-01083400,09,09
01-09-09-0002-01083500,09,09
01-09-09-0002-01083600,09,09
01-09-10-0001-01125000,09,10
01-09-10-0001-01125100,09,10
01-09-10-0001-01125200,09,10
01-09-10-0001-01125500,09,10
01-09-10-0001-01125600,09,10
01-09-10-0001-01125700,09,10
01-09-10-0001-01125800,09,10
01-09-10-0001-01125900,09,10
01-09-10-0001-01126000,09,10
01-09-10-0001-01129000,09,10
01-09-10-0001-01129100,09,10
01-09-10-0001-01129200,09,10
01-09-10-0001-01129300,09,10
01-09-10-0001-01129400,09,10
01-09-10-0002-01137800,09,10
01-09-10-0002-01137900,09,10
01-09-10-0002-01138000,09,10
01-09-10-0002-01138300,09,10
01-09-10-0002-01138400,09,10
01-09-10-0002-01138500,09,10
01-09-10-0002-01138700,09,10
01-09-10-0002-01138800,09,10
01-09-10-0002-01140100,09,10
01-09-10-0002-01140200,09,10
01-09-10-0002-01140300,09,10
01-09-10-0002-01140400,09,10
01-09-10-0002-01140500,09,10
01-09-10-0002-01140600,09,10
01-09-10-0002-01140700,09,10
01-09-10-0002-01140800,09,10
01-09-10-0002-01140900,09,10
01-09-10-0002-01141000,09,10
01-09-10-0002-01141100,09,10
01-09-10-0002-01141200,09,10
01-09-10-0002-01141300,09,10
01-09-10-0002-01141400,09,10
01-09-10-0002-01141900,09,10
01-09-10-0002-01142000,09,10
01-09-10-0002-01142100,09,10
01-09-10-0002-01142200,09,10
01-09-10-0002-01142300,09,10
01-09-10-0002-01142400,09,10
01-09-10-0002-01142500,09,10
01-09-10-0002-01142600,09,10
01-09-10-0002-01142900,09,10
01-09-10-0002-01143000,09,10
01-09-10-0002-01143300,09,10
01-09-10-0002-01143800,09,10
01-09-12-0004-01361900,09,12
01-09-16-0002-01671500,09,16
01-09-16-0002-01673000,09,16
01-09-16-0002-01673100,09,16
01-09-16-0002-01674000,09,16
01-09-16-0002-01674800,09,16
01-09-16-0002-01674900,09,16
01-09-16-0002-01675200,09,16
01-09-16-0002-01675800,09,16
01-09-16-0002-01675900,09,16
01-09-16-0002-01676000,09,16
01-09-16-0002-01676100,09,16
01-09-16-0002-01676200,09,16
01-09-16-0003-01706800,09,16
