shrid2,pc11_state_id,pc11_district_id,pc11_subdistrict_id
11-01-001-00001-000123,01,001,00001
11-01-001-00001-000124,01,001,00001
11-01-001-00001-000125,01,001,00001
11-01-001-00001-000126,01,001,00001
11-01-001-00001-000127,01,001,00001
11-01-001-00001-000128,01,001,00001
11-01-001-00001-800001,01,001,00001
11-01-001-00002-800002,01,001,00002
11-01-001-00003-000369,01,001,00003
11-01-001-00003-000370,01,001,00003
11-01-002-00005-800016,01,002,00005
11-01-002-00005-800017,01,002,00005
11-01-002-00006-800018,01,002,00006
11-01-002-00007-000720,01,002,00007
11-01-002-00007-800019,01,002,00007
11-01-002-00008-000829,01,002,00008
11-01-002-00008-000830,01,002,00008
11-01-002-00008-800020,01,002,00008
11-01-002-00009-800021,01,002,00009
11-01-003-00010-000909,01,003,00010
11-01-003-00010-000910,01,003,00010
11-01-003-00010-800047,01,003,00010
11-01-004-00013-800048,01,004,00013
11-01-005-00016-800062,01,005,00016
11-01-005-00018-001233,01,005,00018
11-01-005-00019-800063,01,005,00019
11-01-006-00020-800064,01,006,00020
11-01-006-00022-800065,01,006,00022
11-01-006-00025-800066,01,006,00025
11-01-006-00026-800067,01,006,00026
11-01-007-00027-800081,01,007,00027
11-01-007-00028-800082,01,007,00028
11-01-007-00030-800083,01,007,00030
11-01-007-00030-800084,01,007,00030
11-01-007-00030-800085,01,007,00030
11-01-007-00031-800086,01,007,00031
11-01-008-00032-800003,01,008,00032
11-01-008-00033-800004,01,008,00033
11-01-008-00034-800005,01,008,00034
11-01-008-00035-800006,01,008,00035
11-01-008-00037-800007,01,008,00037
11-01-008-00039-800008,01,008,00039
11-01-008-00039-800009,01,008,00039
11-01-009-00041-800010,01,009,00041
11-01-009-00042-800011,01,009,00042
11-01-009-00042-800012,01,009,00042
11-01-010-00043-002830,01,010,00043
11-01-010-00043-800013,01,010,00043
11-01-010-00043-800013,01,010,00044
11-01-010-00043-800013,01,002,00008
11-01-010-00043-800014,01,010,00043
11-01-010-00044-002834,01,010,00044
11-01-010-00044-002835,01,010,00044
11-01-011-00045-002883,01,011,00045
11-01-011-00047-002958,01,011,00047
11-01-011-00047-800015,01,011,00047
11-01-012-00048-800022,01,012,00048
11-01-012-00048-800023,01,012,00048
11-01-012-00049-800024,01,012,00049
11-01-012-00050-800025,01,012,00050
11-01-012-00051-800026,01,012,00051
11-01-013-00052-800027,01,013,00052
11-01-014-00053-800028,01,014,00053
11-01-014-00053-800029,01,014,00053
11-01-014-00054-800030,01,014,00054
11-01-014-00054-800031,01,014,00054
11-01-014-00055-800032,01,014,00055
11-01-014-00055-800033,01,015,00059
11-01-014-00055-800033,01,014,00055
11-01-014-00055-800034,01,014,00055
11-01-014-00055-800035,01,014,00055
11-01-014-00056-800036,01,014,00056
11-01-014-00057-800037,01,014,00057
11-01-014-00058-800038,01,014,00058
11-01-014-00058-800039,01,014,00058
11-01-015-00059-800040,01,015,00059
11-01-015-00059-800041,01,015,00059
11-01-015-00059-800042,01,015,00059
11-01-015-00059-800043,01,015,00059
11-01-015-00059-800044,01,015,00059
11-01-015-00059-800045,01,015,00059
11-01-015-00060-800046,01,015,00060
11-01-016-00062-800049,01,016,00062
11-01-016-00065-800050,01,016,00065
11-01-017-00066-800051,01,017,00066
11-01-017-00067-800052,01,017,00067
11-01-017-00067-800053,01,017,00067
11-01-018-00068-800054,01,018,00068
11-01-019-00072-004954,01,019,00072
11-01-019-00072-004955,01,019,00072
11-01-019-00072-800055,01,019,00072
11-01-019-00073-800056,01,019,00073
11-01-019-00073-800057,01,019,00073
11-01-019-00074-800058,01,019,00074
11-01-020-00077-005415,01,020,00077
11-01-020-00077-005416,01,020,00077
11-01-020-00077-800059,01,020,00077
11-01-020-00077-800060,01,020,00077
11-01-020-00077-800061,01,020,00077
11-01-021-00078-800068,01,021,00078
11-01-021-00078-800069,01,021,00078
11-01-021-00078-800070,01,021,00078
11-01-021-00079-005963,01,021,00079
11-01-021-00079-005964,01,021,00079
11-01-021-00079-005965,01,021,00079
11-01-021-00079-800071,01,021,00079
11-01-021-00079-800072,01,021,00079
11-01-021-00079-800073,01,021,00079
11-01-021-00080-006176,01,021,00080
11-01-021-00080-006177,01,021,00080
11-01-021-00080-006178,01,021,00080
11-01-021-00080-800074,01,021,00080
11-01-021-00081-800075,01,021,00081
11-01-021-00081-800076,01,021,00081
11-01-022-00082-006671,01,022,00082
11-01-022-00082-006672,01,022,00082
11-01-022-00082-800077,01,022,00082
11-01-022-00082-800078,01,022,00082
11-01-022-00082-800079,01,022,00082
11-01-022-00082-800080,01,022,00082
11-02-023-00087-800087,02,023,00087
11-02-023-00087-800088,02,023,00087
11-02-023-00088-800089,02,023,00088
11-02-023-00088-800090,02,023,00088
11-02-023-00090-800091,02,023,00090
11-02-024-00093-800092,02,024,00093
11-02-024-00094-008799,02,024,00094
11-02-024-00099-800093,02,024,00099
11-02-024-00099-800094,02,024,00099
11-02-024-00100-800095,02,024,00100
11-02-024-00101-800096,02,024,00101
11-02-024-00103-800097,02,024,00103
11-02-024-00104-800098,02,024,00104
11-02-024-00111-800099,02,024,00111
11-02-026-00117-800100,02,026,00117
11-02-026-00118-012896,02,026,00118
11-02-026-00118-800101,02,026,00118
11-02-026-00118-800102,02,026,00118
11-02-026-00120-800103,02,026,00120
11-02-027-00124-800104,02,027,00124
11-02-027-00129-800105,02,027,00129
11-02-027-00132-800106,02,027,00132
11-02-027-00133-800107,02,027,00133
11-02-027-00133-800108,02,027,00133
11-02-028-00140-800109,02,028,00140
11-02-028-00141-800110,02,028,00141
11-02-028-00143-800111,02,028,00143
11-02-028-00144-800112,02,028,00144
11-02-029-00148-800113,02,029,00148
11-02-029-00148-800114,02,029,00148
11-02-029-00150-800115,02,029,00150
11-02-029-00150-800116,02,029,00150
11-02-029-00150-800117,02,029,00150
11-02-030-00152-800118,02,030,00152
11-02-030-00154-800119,02,030,00154
11-02-030-00155-800120,02,030,00155
11-02-030-00156-800121,02,030,00156
11-02-031-00158-800122,02,031,00158
11-02-031-00161-800123,02,031,00161
11-02-031-00162-800124,02,031,00162
11-02-031-00164-800125,02,031,00164
11-02-031-00164-800126,02,031,00164
11-02-031-00165-800127,02,031,00165
11-02-031-00165-800128,02,031,00165
11-02-031-00165-800129,02,031,00165
11-02-032-00167-800130,02,032,00167
11-02-032-00172-800131,02,032,00172
11-02-032-00173-800132,02,032,00173
11-02-033-00177-023702,02,033,00177
11-02-033-00177-800133,02,033,00177
11-02-033-00179-800134,02,033,00179
11-02-033-00180-800135,02,033,00180
11-02-033-00181-800136,02,033,00181
11-02-033-00182-800137,02,033,00182
11-02-033-00184-800138,02,033,00184
11-02-033-00185-800139,02,033,00185
11-02-033-00188-800140,02,033,00188
11-02-033-00189-800141,02,033,00189
11-02-033-00191-800142,02,033,00191
11-03-035-00200-027401,03,035,00200
11-03-035-00201-027772,03,035,00201
11-03-035-00201-027773,03,035,00201
11-03-035-00201-027774,03,035,00201
11-03-035-00201-027775,03,035,00201
11-03-035-00201-027776,03,035,00201
11-03-035-00201-027777,03,035,00201
11-03-035-00201-027778,03,035,00201
11-03-035-00201-027779,03,035,00201
11-03-035-00201-027780,03,035,00201
11-03-035-00201-027781,03,035,00201
11-03-035-00201-027782,03,035,00201
11-03-035-00201-800143,03,035,00201
11-03-035-00201-800144,03,035,00201
11-03-035-00202-028501,03,035,00202
11-03-035-00202-028502,03,035,00202
11-03-035-00202-028503,03,035,00202
11-03-035-00202-028504,03,035,00202
11-03-035-00202-800145,03,035,00202
11-03-035-00202-800146,03,035,00202
11-03-035-00202-800147,03,035,00202
11-03-035-00203-800148,03,035,00203
11-03-035-00203-800149,03,035,00203
11-03-035-00203-800150,03,035,00203
11-03-035-00203-800151,03,035,00203
11-03-035-00204-028993,03,035,00204
11-03-035-00204-800152,03,035,00204
11-03-036-00205-800153,03,036,00205
11-03-036-00205-800154,03,036,00205
11-03-036-00206-029355,03,036,00206
11-03-036-00206-800155,03,036,00206
11-03-036-00206-800156,03,036,00206
11-03-036-00207-800157,03,036,00207
11-03-036-00208-029683,03,036,00208
11-03-036-00208-029684,03,036,00208
11-03-036-00208-800158,03,036,00208
11-03-037-00209-800159,03,037,00209
11-03-037-00209-800160,03,037,00209
11-03-037-00210-800161,03,037,00210
11-03-037-00211-030247,03,037,00211
11-03-037-00211-030248,03,037,00211
