index,shrid2,ua_id,ua_pc11_pca_tot_p,ua_pc11_land_area
0,11-01-002-00007-000645,800013,1239014.0,290.3569241166115
1,11-01-002-00007-000647,800013,1239014.0,290.3569241166115
2,11-01-002-00007-000648,800013,1239014.0,290.3569241166115
3,11-01-002-00007-000667,800013,1239014.0,290.3569241166115
4,11-01-002-00007-000671,800013,1239014.0,290.3569241166115
5,11-01-002-00007-000672,800013,1239014.0,290.3569241166115
6,11-01-002-00007-000675,800013,1239014.0,290.3569241166115
7,11-01-002-00007-000676,800013,1239014.0,290.3569241166115
8,11-01-002-00007-000695,800013,1239014.0,290.3569241166115
9,11-01-002-00007-000697,800013,1239014.0,290.3569241166115
10,11-01-002-00007-800019,800013,1239014.0,290.3569241166115
11,11-01-002-00008-000723,800013,1239014.0,290.3569241166115
12,11-01-002-00008-000724,800013,1239014.0,290.3569241166115
13,11-01-002-00008-000725,800013,1239014.0,290.3569241166115
18,11-01-007-00030-001841,800084,63721.0,35.36999976634979
19,11-01-007-00030-001842,800084,63721.0,35.36999976634979
20,11-01-007-00030-001846,800084,63721.0,35.36999976634979
21,11-01-007-00030-001847,800084,63721.0,35.36999976634979
23,11-01-007-00030-001887,800084,63721.0,35.36999976634979
25,11-01-007-00030-800084,800084,63721.0,35.36999976634979
28,11-01-008-00032-800003,800003,71292.0,18.899999618530273
29,11-01-008-00035-800006,800006,71434.0,23.979999542236328
30,11-01-010-00043-800013,800013,1239014.0,290.3569241166115
36,11-01-014-00055-800033,800033,150592.0,44.33801031112671
38,11-01-019-00072-004873,800055,86997.0,31.097000867128372
39,11-01-019-00072-004874,800055,86997.0,31.097000867128372
40,11-01-019-00072-004903,800055,86997.0,31.097000867128372
41,11-01-019-00072-004904,800055,86997.0,31.097000867128372
42,11-01-019-00072-004905,800055,86997.0,31.097000867128372
43,11-01-019-00072-004906,800055,86997.0,31.097000867128372
44,11-01-019-00072-004917,800055,86997.0,31.097000867128372
45,11-01-019-00072-800055,800055,86997.0,31.097000867128372
46,11-01-021-00079-005766,800071,690627.0,271.3380011320114
47,11-01-021-00079-005769,800071,690627.0,271.3380011320114
48,11-01-021-00079-005770,800071,690627.0,271.3380011320114
49,11-01-021-00079-005772,800071,690627.0,271.3380011320114
50,11-01-021-00079-005934,800071,690627.0,271.3380011320114
51,11-01-021-00079-005936,800071,690627.0,271.3380011320114
52,11-01-021-00079-005937,800071,690627.0,271.3380011320114
53,11-01-021-00079-005938,800071,690627.0,271.3380011320114
